#,Date,Location,Vehicles,Drunken persons,Fatalites,Persons,Pedestrians
110,"Jan 5, 2008 07:00 PM","Fairbanks-Ave, Bassett-Ave",1,-,1,3,1
111,"Jan 7, 2008 12:58 AM",Us-50,2,-,1,4,-
112,"Jan 27, 2008 08:00 PM",I-75,1,1,1,1,-
113,"Feb 16, 2008 04:15 PM",Delta-Ave,1,-,1,1,-
114,"Feb 15, 2008 06:10 PM",Este Ave,1,1,1,1,-
115,"Feb 21, 2008 04:50 AM",Marburg Ave,1,-,1,2,1
116,"Jun 30, 2008 09:20 AM",I-74,1,1,1,1,-
117,"Jul 6, 2008 02:53 AM",Us-42,2,3,1,4,-
118,"Jul 9, 2008 11:45 AM",I-71,2,2,2,3,-
119,"Jul 18, 2008 02:54 AM",I-75,2,1,1,2,-
120,"Jun 28, 2008 05:15 PM",Shady Lane,2,-,1,1,-
121,"Jul 7, 2008 10:45 PM",Us-52,3,1,1,2,1
122,"Jul 13, 2008 03:12 PM",I-471,2,-,1,3,-
123,"Jul 16, 2008 02:47 PM","Us-42, Barry Lane",2,-,1,2,-
124,"Aug 6, 2008 06:25 AM",Vine St,1,1,1,2,1
125,"Aug 3, 2008 05:13 PM",Hopple-St,1,1,1,1,-
126,"Aug 22, 2008 01:04 AM",Us-42,1,1,1,2,1
127,"Aug 27, 2008 08:15 PM",I-71,2,-,1,5,-
128,"Aug 31, 2008 04:00 AM",Este Ave,1,1,1,1,-
129,"Oct 23, 2008 07:01 PM","Vine-St, E-Sixth-St",1,-,1,2,1
130,"Nov 3, 2008 02:13 AM",Victory Pkwy,1,1,1,1,-
131,"Nov 6, 2008 06:30 AM",I-71,2,-,2,3,-
132,"Dec 6, 2008 12:46 AM",Us-50,1,-,1,4,-
133,"Dec 23, 2008 03:45 PM",Martin Luther Dr,2,1,1,7,-
134,"Dec 4, 2008 06:48 AM","Madison-Rd, Anderson-Place",1,-,1,2,1
135,"Jan 28, 2007 10:32 AM","Cleves-Warsaw-Pike, Covedale-Ave",2,-,1,2,-
136,"Jan 26, 2007 01:15 AM",Duck Creek Rd,1,1,1,2,-
137,"Feb 5, 2007 08:45 PM",I-75,1,-,1,1,-
138,"Feb 8, 2007 12:36 AM",Spring Grove Ave,3,-,1,3,-
139,"Feb 20, 2007 10:50 PM",Us-42,2,2,1,3,-
140,"Mar 18, 2007 07:20 PM",Langdon Farm Rd,1,-,1,2,-
141,"Mar 12, 2007 11:48 PM",Oberlin Av,1,-,1,4,-
142,"Mar 16, 2007 10:00 AM","Winton-Rd, Gray-Rd",2,-,1,2,-
143,"Apr 27, 2007 08:00 AM","Us-50, Thorton Ave",2,-,1,3,-
144,"Apr 29, 2007 11:30 PM",E-Galbraith-Rd,1,1,1,1,-
145,"May 2, 2007 05:30 PM","E-Galbraith-Rd, Burns-Ave",2,-,1,8,-
146,"Jul 7, 2007 03:44 PM",W-Liberty-St,1,-,1,2,1
147,"Jul 4, 2007 11:00 PM",Vernon Pl,1,-,1,2,1
148,"Jul 5, 2007 09:09 AM",I-74,1,-,1,1,-
149,"Jul 21, 2007 05:49 PM","Harrison Ave, Biegler St",1,1,1,2,-
150,"Aug 19, 2007 06:26 AM",Us-50,1,-,1,1,-
151,"Aug 13, 2007 08:59 PM","E 4th St, Walnut St",1,-,1,2,1
152,"Sep 9, 2007 01:18 AM",I-75,2,1,1,3,-
153,"Sep 12, 2007 12:25 AM","9, Central",1,1,1,2,1
154,"Sep 19, 2007 11:22 PM","Beekman, Cummins",1,1,1,1,-
155,"Oct 3, 2007 08:31 PM","Us-22, Dauner-Ave",1,-,1,2,1
156,"Oct 27, 2007 00:35 AM",West-Fork-Rd,1,1,1,1,-
157,"Nov 9, 2007 02:56 AM",I-75,1,1,1,1,-
158,"Dec 15, 2007 07:54 PM",Us-42,1,-,1,1,-
159,"Oct 29, 2007 11:40 AM",I-74,1,-,1,1,-
160,"Dec 14, 2007 05:59 PM",Us-50,3,1,1,4,-
161,"Dec 22, 2007 03:14 AM",Pippin Rd,2,2,2,3,-
162,"Dec 8, 2007 12:22 AM",Dana Ave,1,-,1,1,-
163,"Dec 25, 2007 03:40 AM",Us-42,1,1,2,3,-
164,"Jan 3, 2006 11:58 AM","Us-50, Burns-Ave",2,-,1,3,-
165,"Feb 16, 2006 04:49 AM",Winchell-Ave,1,1,1,1,-
166,"Mar 4, 2006 03:30 AM",Sr-126,1,1,1,1,-
167,"Mar 5, 2006 02:35 AM","Westwood Ave, Grand Ave",2,3,1,3,-
168,"Mar 20, 2006 04:24 PM",Elberon-Ave,1,-,1,3,1
169,"Apr 28, 2006 07:45 PM",Us-129,1,1,1,1,-
170,"May 4, 2006 01:00 AM","Us-52, Watson St",1,-,2,2,-
171,"May 24, 2006 10:15 AM","Us-22, W 7th St",1,-,1,2,1
172,"Jul 1, 2006 02:55 PM","William Howard Taft, Cleinview Ave",2,1,1,5,-
173,"Jun 26, 2006 04:32 PM",Harrison Ave,1,-,1,2,1
